央视直播,#genre#
CCTV1综合,http://60.10.167.88:808/hls/1/index.m3u8
CCTV1综合（备份）,http://223.110.235.7/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV12社会与法,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV15音乐,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV6,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221227209/index.m3u8
CCTV7,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221227314/index.m3u8
CCTV8,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
